USER,INTENT,Slot-Value,Value,B-I-O Tag
I am sure display size is not satisfied by my brother.,Reject,NA,NA,O O O O O O O O O O O
"But, he likes to play games on big hd screen.",Reject,NA,NA,O O O O O O O O O O
"Okay, Now I am statisfied. and gold colour is his favourite colour.",Feedback,Colour-gold,Gold,O O O O O O B-Colour B-Colour O O O O
"Sure, but I want to know is there any discount available for this phone?",Request,Discount-UNK,UNK,O O O O O O O O O O O O O O
"Okay, product is really worthy I want to proceed with billing.",BookingReq,NA,NA,O O O O O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
588,,,,
Good morning. I am looking for smartphone.,PhoneSelReq,NA,NA,O O O O O O O
"No, I don't have enough idea about it. Can you help me for that?",Feedback,NA,NA,O O O O O O O O O O O O O O
I would like to have it golden in colour as it's in the new trend.,Feedback,Colour-Golden,Golden,O O O O O O B-Colour O B-Colour O O O O O O
I would say let's start with these two.,Request,NA,NA,O O O O O O O O
5000MAH battery is not enough for me. I need to travel all day along. I don't have enough time charge it everytime.,Reject,NA,NA,O B-Battery O O O O O O O O O O O O O O O O O O O O
But I am not statisfied with its batterybackup.,Reject,Battery-UNK,UNK,O O O O O O O B-Battery
"Okay. Then it good for me.
What about its RAM and camera quality?",Request,"RAM-UNK
Camera-UNK",UNK,O O O O O O O O O B-RAM O B-Camera O
What about the internal storage capacity?,Request,Storage-UNK,UNK,O O O O B-Storage O
And what about their prices?,Request,Prices-UNK,UNK,O O O O B-Cost
"Well, they both have almost similar specifications so I am quite confused as in which one to choose?",Feedback,NA,NA,O O O O O O O O O O O O O O O O O O
I get that. Which one has more brand value?,Request,UNK,UNK,O O O O O O O B-Brand O
Would you suggest me to buy Asus?,SuggestionReq,NA,NA,O O O O O O O
"Well, it's a tough decision. But I guess, I would like to go for Asus.",FeedbackReq,NA,NA,O O O O O O O O O O O O O O O
I want to proceed with booking.,BookingReq,NA,NA,O O O O O O
Thankyou so much for assisting me.,Gratitude,NA,NA,O O O O O O
589,,,,
Hello. I want to buy a tab for my bride.,TabletSelReq,NA,NA,O O O O O O O O O O
I would like to have it in Pearl White because that is her favourite colour.,Feedback,Colour-Peral white,Pearl white,O O O O O O O O B-Colour O O O O O B-Colour
I don't have any information regarding that. Will you help me to choose better one?,Request,NA,NA,O O O O O O O O O O O O O O O
"yes, she is fond of reading and watching series, for that she need tab with good batterybackup. And also she loves to click picture.",Feedback,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O
How much cost is it to me?,Request,Cost-UNK,UNK,O O B-Cost O O O O
"It is costly, I want it less expensive?",Reject,NA,NA,O O O O O O O O
"But, I don't want to spend that much on purchasing tab?",Reject,NA,NA,O O O O O O O O O O O
What about its camera?,Request,Camera-UNK,UNK,O O O B-Camera
I don't think she statisfied with camera quality?,Reject,UNK,UNK,O O O O O O B-Camera O
What about its colour?,Request,Colour-UNK,UNK,O O O B-Colour
"Okay, I trust you. You can proceed with billing?",BookingReq,NA,NA,O O O O O O O O O
Please proceed with the booking.,BookingReq,NA,NA,O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
,,NA,NA,
"Hi, I want to buy a laptop for my personal use, within the budget of 2300 EUR.",LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O O
Which brand do you have?,Request,Brand-UNK,UNK,O B-Brand O O O
"My perivious labtop was from Dell. I trust on it, it was good for me. This time again I want to purchase Dell.",Feedback,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O
"Show me Labtop with I5 proceesor, I belive it would be good for my office use.",Request,Processor-I5,I5,O O O O I-Processor O O O O O O O O O O O
Wow! it is in my budget. What about its storage.,Request,Storage-UNK,UNK,O O O O B-Cost O O O O B-Storage
What is its display size?,Request,Display-UNK,UNK,O O O O B-DisplaySize
15.6 is not comfortable for office use.we need to present data on long screen.,Reject,NA,NA,B-Display O O O O O O O O O O O O O
"Are you sure? it is enough to present any presentation or some other task of my office.
Because I want this labtop for my office use.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O
How can you assure me for this?,FeedbackReq,NA,NA,O O O O O O O
"Okay, what about its colour. Because my previous labtop is in black colour. I wanted it in black colour.",Request,Colour-Black,Black,O O O O B-Colour O O O O O O B-Colour O O O O O B-Colour O
"Now, I am statisfied to this labtob .It will help me in my office.",Gratitude,NA,NA,O O O O O O O O O O O O O O
I want to proceed with booking.,BookingReq,NA,NA,O O O O O O
"No, I am sure about this labtop.",Inform,NA,NA,O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
590,,,,
"Hi, do you have smartphones for sale?",PhoneSelReq,NA,NA,O O O O O O O
"Nice! I am a college student, I am looking for a smartphone for my personal use.",Inform,NA,NA,O O O O O O O O O O O O O O O O
"I love to play games, So I prefer a phone which is good for gaming.",Feedback,NA,NA,O O O O O O O O O O O O O O O
"Battery should be 5000 MAH so that I can play longer time, once I charge it.",Feedback,Battery-5000,5000,B-Battery O O O O O O O O O O O O O O O
"Sounds good!
I am curious to explore all the three.",Request,NA,NA,O O O O O O O O O O
Tell me more about Samsung Galaxy A9 Pro. I would like to know the camera quality of it.,Request,NA,NA,O O O O B-Brand O O O O O O O O O O O O O
"I don't think it is a good choice for me.
I am a good photographer too, and phone with 16 Megapixel primary camera is not good for me.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Okay. If you ensure me than it is good. What is its display size?,Request,Display-UNK,UNK,O O O O O O O O O O O O O B-DisplaySize
Who keeps a single sim slot these days? I want a smartphone with two sim slot. Do you have any other model having two sim slots?,Reject,NA,NA,O O O O B-Sim O O O O O O O O O B-Sim O O O O O O O O O B-Sim O
I am doubtfull about Asus phone.,Reject,NA,NA,O O O O B-Brand O
"No,  I will wait for new model to launch.",Reject,NA,NA,O O O O O O O O O
Thank you for your support.,Close,NA,NA,O O O O O
591,,,,
"Hello, I am looking forward to buy a camera for myself.",CameraSelReq,NA,NA,O O O O O O O O O O O
I would prefer going with features rather than any specific brand.,Feedback,Brand-UNK,UNK,O O O O O O O O O O B-Brand
I want camera have up to 2272 and at least 1600 resolution.,Request,"Camera-2272, 1600","2272, 1600",O O O O O O B-MaxResolution O O O B-MinResolution O
Do you have other brand? I don't want to go with that.,Reject,Brand-UNK,UNK,O O O O B-Brand O O O O O O O
Would you show me some other model in Canon with same resolution.,Request,NA,NA,O O O O O O O O B-Brand O O O
Amongst all these model which ones have storage more than 16GB?,Request,Storage-UNK,UNK,O O O O O O O B-Storage O O B-Storage
I want one with 4 Megapixel camera.,Request,Camera-4,4,O O O O O B-Camera O
That is awesome. I really like to know about the price?,Request,Cost-UNK,UNK,O O O O O O O O O O B-Cost
"Oh, it is expensive for me .Is there any discount availble on this camera.",Reject,NA,NA,O O O O O O O O O O O O O O
Then show me some other cameras. Which is less expensive.,Feedback,NA,NA,O O O O O O O O O O
"Okay, then tell me some others features. How much does it weighs?",Request,Weight-UNK,UNK,O O O O O O O O O O O B-Weight
"Then, it is good for me. Will you proceed with booking?",BookingReq,NA,NA,O O O O O O O O O O O
"No, book it for me.",BookingReq,NA,NA,O O O O O
Thank you.,Gratitude,NA,NA,O O
592,,,,
"Hello, I need a little bit help from you.",PhoneSelReq,NA,NA,O O O O O O O O O
"I actually found this image in my gallery and I had forgot which model is this -
https://cdn. gadgets360.com/content/assets/products/huawei-mediapad-x2-2440_960X480_1438858207.jpg?downsize=*:180&output-quality=80&output-format=webp",SuggestionReq,NA,NA,O O O O O O O O O O O O O O O O O O O
"Wow, do you have it?",Request,UNK,UNK,O O O O O
That is so great. Can you tell me about some of its other features?,Request,Feature-UNK,UNK,O O O O O O O O O O O O O B-Feature
2GB RAM not enough for me. It will make me trouble to perform multiple task .,Reject,NA,NA,B-RAM O O O O O O O O O O O O O O O
And also 13 Megapixel is not good for me to click good picture.,Reject,NA,NA,O O B-Display O O O O O O O O O O
"Okay, what about its weight?",Request,Weight-UNK,UNK,O O O O B-Weight
Do you have any idea about its storage capacity?,Request,Storage-UNK,UNK,O O O O O O O B-Storage O
Wow!! how much will it cost me?,Request,Cost-UNK,UNK,O O O O O B-Cost O
"Okay, but do you have anyother model in the same colour?",Request,Colour-UNK,UNK,O O O O O O O O O O B-Colour
"No, I love this colour. Does this model have Radio?",Request,Radio-UNK,UNK,O O O O B-Colour O O O O B-Radio
"Okay, if you suggested me, then I am sure it is good for me.",Feedback,NA,NA,O O O O O O O O O O O O O O
"Sure, book it for me.",BookingReq,NA,NA,O O O O O
Thankyou for your entire help.,Gratitude,NA,NA,O O O O O
593,,,,
"Hey, I am looking for a phone in snow white colour. Do you have that one?",PhoneSelReq,Colour-Snow white,Snow whiite,O O O O O O O O O B-Colour O O O O O O
Yes sure.,Request,UNK,UNK,O O
It is exactly the one I wanted to know about.,Feedback,NA,NA,O O O O O O O O O O
I want to buy a product with brand value but not any random product.,Feedback,Brand-UNK,UNK,O O O O O O O B-Brand O O O O O O
I don't have much idea on this. I can judge better if you can tell me about its features.,Request,UNK,UNK,O O O O O O O O O O O O O O O O O O B-Feature
Who keeps 2GB RAM now a days?,Reject,RAM-2,2,O O B-RAM O O O O
How can I run multiple application on this 2GB RAM phone?,Reject,NA,NA,O O O O O O O O B-RAM O O
"Okay, now I got it. Does it belongs to one of Huawei's latest model?",Request,NA,NA,O O O O O O O O O O O O O O
I need GPS as well. Does this product have that as well?,Request,GPS-UNK,UNK,O O B-GPS O O O O O O O O O
What about the camera quality?,Request,Camera-UNK,UNK,O O O B-Camera O
How much will it cost me?,Request,Cost-UNK,UNK,O O O O B-Cost O
"Yes, I can take it. It comes under my budget.",BookingReq,NA,NA,O O O O O O O O O O
"Yes, sure.",Close,NA,NA,O O
Thank you for your assistance.,Gratitude,NA,NA,O O O O O
594,,,,
"Hi, I want to buy a laptop.",LaptopSelReq,NA,NA,O O O O O O O
I am looking for the cheap one.Which I can use for my officework.,Inform,NA,NA,O O O O O O O O O O O O O
I can afford up to 6000.,Inform,Budget-6000,6000,O O O O O B-Cost
"My previous labtop was from Asus. I trust on it, firstly show me some model from Asus.",Feedback,Brand-Asus,Asus,O O O O O B-Brand O O O O O O O O O O B-Brand
Okay. Then show me some of them. Which has great reviews.,Request,NA,NA,O O O O O O O O O O O
"Okay, what is its features,it has i7 processor or not?",Request,Processor-i7,i7,O O O O O O I-Processor O O O
What about the graphics?,Request,GPU-UNK,UNK,O O O B-GPU
I am not statisfied with graphics.,Reject,UNK,UNK,O O O O O B-GPU
I still in doubt. Whether it works for me or not?,Reject,UNK,UNK,O O O O O O O O O O O
"Just because you assure me for this, I trust. What is its colour.
",Request,Colour-UNk,UNK,O O O O O O O O O O O O B-Colour
"No, My previous labtop is also in black colour. This time I want it in white colour, it is availble in white colour or not?",Reject,UNK,UNK,O O O O O O O B-Colour O O O O O O O B-Colour O O O O O B-Colour B-Colour O O
"It sounds nice, how much it will cost to me?",Request,Cost-UNK,UNK,O O O O O O O B-Cost O O
"Yes, I want to proceed with billing?",BookingReq,NA,NA,O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
595,,,,
Hello. I want to purchase the best rated laptop that you have with you.,LaptopSelReq,NA,NA,O O O O O O O O O O O O O O
I don't have any in my mind.,Inform,NA,NA,O O O O O O O
"Yes sure, suggest me some latest labtop.",Request,NA,NA,O O O O O O O
There is one problem that I can't afford more than 6000 EUR for the laptop.,Inform,Cost-6000,6000,O O O O O O O O O O O B-Cost O O O
"Okay, then it is good for me.",Feedback,NA,NA,O O O O O O O
"Yes, It is necessary for me to have big display size. What is its display size?",Request,Display-UNK,UNK,O O O O O O O O O O O O O O O B-DisplaySize
Is it sufficent to represent data on big screen?,Reject,NA,NA,O O O O O O O O O
"Okay, what is the model name?",Request,Model-UNK,UNK,O O O O B-Model O
What is its processor?,Request,Processor-UNK,UNK,O O O I-Processor
I don't think i5 is sufficent for office work?,Reject,NA,NA,O O O I-Processor O O O O O
It may affect the speed of my labtop?,Reject,NA,NA,O O O O I-Model O O O
"Okay, what is its colour.",Request,Colour-UNK,UNK,O O O O B-Colour
Wow its my favourite colour. Do you have any idea about the storage capacity?,Request,Storage-UNK,UNK,O O O O B-Colour O O O O O O O B-Storage O
"Great!!
What is the rating of this model?",Request,Rating-UNK,UNK,O O O O B-Rating O O O
How so?,Request,NA,NA,O O
"Yes, it is a great deal for me. I want to proceed with booking.",BookingReq,NA,NA,O O O O O O O O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
596,,,,
"Good Evening!!
I wanted to enquire is HP laptops got 5 stars rating?",LaptopSelReq,NA,NA,O O O O O O O B-Brand O O B-Display O O
Are they really good? I mean are they worth?,Request,NA,NA,O O O O O O O O O
I can spend up to 2000 EUR to buy this laptop. Do you have HP labtop  within this budget.,Request,Budegt-2000,2000,O O O O O B-Cost O O O O O O O O B-Brand O O O B-Cost
Which other brands you recommend can be better than HP?,Request,Brand-UNK,UNK,O O O O O O O O O B-Brand
But prior to that I would like to have some information regarding its features.,Request,Feature-UNK,UNK,O O O O O O O O O O O O O B-Feature
I want a laptop with good storage capacity.,Request,Storage-UNK,UNK,O O O O O O B-Storage O
What is its colour?,Request,Colour-UNK,UNK,O O O B-Colour
"No, I don't like black colour.",Reject,NA,NA,O O O O B-Colour O
How is the quality of graphics?,Request,GPU-UNK,UNK,O O O O O B-GPU
And how much is this going to cost me?,Request,Cost-UNK,UNK,O O O O O O O B-Cost O
Is there any discount?,Request,NA,NA,O O O O
Can I get extra discount.,Request,NA,NA,O O O O O
"Oh,I am still in doubt should I purchase this or not?",Reject,NA,NA,O O O O O O O O O O O
Okay I want to proceed with billing.,BookingReq,NA,NA,O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
597,,,,
"Hello, I want to buy an Apple laptop. So do you have one?",LaptopSelReq,Brand-Apple,Apple,O O O O O O B-Brand O O O O O O
Not more than 2500 EUR. But I am also looking for a model with a 5 star rating.,Inform,Budget-2500,2500,O O O B-Cost O O O O O O O O O O O B-Display O O
Isn't there a chance that I can buy some other model with good rating?,Request,NA,NA,O O O O O O O O O O O O O O
"No, Apple laptops are the best so it has to be Apple.",Inform,NA,NA,O B-Brand O O O O O O O O O O
Okay. Tell me more about HP laptop.,Request,NA,NA,O O O O O B-Brand O
What about the features?,Request,Feature-UNK,UNK,O O O B-Feature
It sounds fine to me but I had like to know about the graphics as well.,Request,GPU-UNK,UNK,O O O O O O O O O O O O O B-GPU O O
What is its colour?,Request,Colour-UNK,UNK,O O O B-Colour
But I wanted it into blue colour. Is there any blue colour availble in this model.,Reject,UNK,UNK,O O O O O B-Colour O O O O B-Colour B-Colour O O O B-Model
